clip	duration[ms]
common_voice_ibb_41348537.mp3	8676
common_voice_ibb_41264611.mp3	13428
common_voice_ibb_41481604.mp3	10620
common_voice_ibb_41307709.mp3	10368
common_voice_ibb_41472390.mp3	10980
common_voice_ibb_41333783.mp3	11016
common_voice_ibb_41464657.mp3	5328
common_voice_ibb_41528407.mp3	4356
common_voice_ibb_41372636.mp3	9396
common_voice_ibb_41303179.mp3	8676
common_voice_ibb_41444472.mp3	8316
common_voice_ibb_41301683.mp3	6696
common_voice_ibb_41356221.mp3	9396
common_voice_ibb_41464490.mp3	10656
common_voice_ibb_41271092.mp3	14544
common_voice_ibb_41271272.mp3	9972
common_voice_ibb_41484113.mp3	7236
common_voice_ibb_41528666.mp3	10872
common_voice_ibb_41503520.mp3	2412
common_voice_ibb_41307319.mp3	8928
common_voice_ibb_41270855.mp3	4716
common_voice_ibb_41482339.mp3	11556
common_voice_ibb_41266773.mp3	9216
common_voice_ibb_41513242.mp3	10440
common_voice_ibb_41480925.mp3	8028
common_voice_ibb_41318189.mp3	7020
common_voice_ibb_41482047.mp3	13500
common_voice_ibb_41272377.mp3	6480
common_voice_ibb_41322851.mp3	7488
common_voice_ibb_41270886.mp3	7740
common_voice_ibb_41483991.mp3	8964
common_voice_ibb_41270733.mp3	9684
common_voice_ibb_41528371.mp3	8964
common_voice_ibb_41263983.mp3	7596
common_voice_ibb_41363151.mp3	11556
common_voice_ibb_41444355.mp3	9648
common_voice_ibb_41425823.mp3	7812
common_voice_ibb_41303180.mp3	13500
common_voice_ibb_41468712.mp3	6300
common_voice_ibb_41451676.mp3	7668
common_voice_ibb_41371718.mp3	5616
common_voice_ibb_41377680.mp3	11160
common_voice_ibb_41307456.mp3	6696
common_voice_ibb_41356230.mp3	9720
common_voice_ibb_41439750.mp3	8208
common_voice_ibb_41481735.mp3	11736
common_voice_ibb_41450995.mp3	12348
common_voice_ibb_41400510.mp3	13500
common_voice_ibb_41444317.mp3	3888
common_voice_ibb_41464516.mp3	9468
common_voice_ibb_41319215.mp3	10188
common_voice_ibb_41383865.mp3	12600
common_voice_ibb_41451722.mp3	10440
common_voice_ibb_41482338.mp3	12924
common_voice_ibb_41450984.mp3	13284
common_voice_ibb_41472317.mp3	10152
common_voice_ibb_41481606.mp3	13716
common_voice_ibb_41329215.mp3	6300
common_voice_ibb_41372169.mp3	8640
common_voice_ibb_41322615.mp3	10440
common_voice_ibb_41492957.mp3	6300
common_voice_ibb_41484080.mp3	12852
common_voice_ibb_41503474.mp3	12744
common_voice_ibb_41249270.mp3	11700
common_voice_ibb_41333070.mp3	11700
common_voice_ibb_41528646.mp3	12096
common_voice_ibb_41270347.mp3	9360
common_voice_ibb_41528706.mp3	6912
common_voice_ibb_41513795.mp3	6876
common_voice_ibb_41308674.mp3	14940
common_voice_ibb_41433157.mp3	7956
common_voice_ibb_41482282.mp3	8244
common_voice_ibb_41481841.mp3	5688
common_voice_ibb_41369623.mp3	6876
common_voice_ibb_41503293.mp3	9036
common_voice_ibb_41481986.mp3	10908
common_voice_ibb_41369104.mp3	9468
common_voice_ibb_41347536.mp3	13788
common_voice_ibb_41451725.mp3	5688
common_voice_ibb_41481603.mp3	7236
common_voice_ibb_41482257.mp3	6696
common_voice_ibb_41464415.mp3	13356
common_voice_ibb_41503139.mp3	7668
common_voice_ibb_41513052.mp3	7632
common_voice_ibb_41352545.mp3	8568
common_voice_ibb_41528637.mp3	13932
common_voice_ibb_41298284.mp3	8856
common_voice_ibb_41440612.mp3	8208
common_voice_ibb_41528508.mp3	6624
common_voice_ibb_41264610.mp3	4536
common_voice_ibb_41464487.mp3	12348
common_voice_ibb_41356222.mp3	6408
common_voice_ibb_41396845.mp3	3132
common_voice_ibb_41503484.mp3	7092
common_voice_ibb_41271772.mp3	7740
common_voice_ibb_41464634.mp3	8568
common_voice_ibb_41482287.mp3	10152
common_voice_ibb_41481610.mp3	5436
common_voice_ibb_41320806.mp3	5220
common_voice_ibb_41528106.mp3	7524
common_voice_ibb_41513624.mp3	7812
common_voice_ibb_41528239.mp3	6984
common_voice_ibb_41390812.mp3	5580
common_voice_ibb_41316283.mp3	6876
common_voice_ibb_41481745.mp3	6984
common_voice_ibb_41513152.mp3	9756
common_voice_ibb_41271564.mp3	9396
common_voice_ibb_41440555.mp3	6228
common_voice_ibb_41482278.mp3	11268
common_voice_ibb_41356132.mp3	4896
common_voice_ibb_41264443.mp3	12420
common_voice_ibb_41372734.mp3	4140
common_voice_ibb_41356130.mp3	7200
common_voice_ibb_41369382.mp3	8748
common_voice_ibb_41354009.mp3	7488
common_voice_ibb_41248379.mp3	9000
common_voice_ibb_41482281.mp3	8136
common_voice_ibb_41347134.mp3	12960
common_voice_ibb_41481761.mp3	8028
common_voice_ibb_41329162.mp3	8820
common_voice_ibb_41512604.mp3	7200
common_voice_ibb_41492920.mp3	7632
common_voice_ibb_41481970.mp3	4968
common_voice_ibb_41246160.mp3	8136
common_voice_ibb_41374276.mp3	9828
common_voice_ibb_41248271.mp3	12888
common_voice_ibb_41302045.mp3	7740
common_voice_ibb_41372955.mp3	8928
common_voice_ibb_41315568.mp3	6336
common_voice_ibb_41487108.mp3	6300
common_voice_ibb_41352890.mp3	12276
common_voice_ibb_41271776.mp3	9648
common_voice_ibb_41509955.mp3	11844
common_voice_ibb_41528509.mp3	10080
common_voice_ibb_41353841.mp3	7848
common_voice_ibb_41331788.mp3	8388
common_voice_ibb_41528740.mp3	6480
common_voice_ibb_41269775.mp3	7776
common_voice_ibb_41302850.mp3	7596
common_voice_ibb_41414271.mp3	9360
common_voice_ibb_41333106.mp3	13356
common_voice_ibb_41468768.mp3	9000
common_voice_ibb_41528567.mp3	13500
common_voice_ibb_41333776.mp3	9576
common_voice_ibb_41528566.mp3	6984
common_voice_ibb_41373503.mp3	8100
common_voice_ibb_41439748.mp3	10584
common_voice_ibb_41264333.mp3	4932
common_voice_ibb_41528299.mp3	5796
common_voice_ibb_41362995.mp3	5580
common_voice_ibb_41400439.mp3	7596
common_voice_ibb_41481784.mp3	10116
common_voice_ibb_41485091.mp3	7488
common_voice_ibb_41414410.mp3	7704
common_voice_ibb_41513567.mp3	9072
common_voice_ibb_41528701.mp3	5112
common_voice_ibb_41464467.mp3	10080
common_voice_ibb_41426135.mp3	10800
common_voice_ibb_41388922.mp3	5364
common_voice_ibb_41480773.mp3	11376
common_voice_ibb_41272496.mp3	8640
common_voice_ibb_41445074.mp3	3780
common_voice_ibb_41290754.mp3	7848
common_voice_ibb_41472356.mp3	10116
common_voice_ibb_41249286.mp3	4356
common_voice_ibb_41261867.mp3	11880
common_voice_ibb_41271837.mp3	7380
common_voice_ibb_41481762.mp3	13860
common_voice_ibb_41261922.mp3	7920
common_voice_ibb_41347378.mp3	4500
common_voice_ibb_41348323.mp3	9648
common_voice_ibb_41361180.mp3	8928
common_voice_ibb_41307316.mp3	8460
common_voice_ibb_41319606.mp3	7380
common_voice_ibb_41512582.mp3	9720
common_voice_ibb_41513160.mp3	3780
common_voice_ibb_41481779.mp3	8496
common_voice_ibb_41269998.mp3	12456
common_voice_ibb_41368657.mp3	6120
common_voice_ibb_41528704.mp3	10476
common_voice_ibb_41528751.mp3	8424
common_voice_ibb_41528217.mp3	10620
common_voice_ibb_41249269.mp3	4860
common_voice_ibb_41433254.mp3	9576
common_voice_ibb_41482056.mp3	9000
common_voice_ibb_41528238.mp3	9684
common_voice_ibb_41262328.mp3	13536
common_voice_ibb_41396782.mp3	13536
common_voice_ibb_41300057.mp3	12600
common_voice_ibb_41464613.mp3	14868
common_voice_ibb_41440161.mp3	9000
common_voice_ibb_41503364.mp3	4644
common_voice_ibb_41317051.mp3	7200
common_voice_ibb_41509952.mp3	10656
common_voice_ibb_41485647.mp3	8676
common_voice_ibb_41374250.mp3	7308
common_voice_ibb_41326427.mp3	7596
common_voice_ibb_41301680.mp3	7380
common_voice_ibb_41513734.mp3	5796
common_voice_ibb_41388145.mp3	4896
common_voice_ibb_41354113.mp3	178956
common_voice_ibb_41513984.mp3	5544
common_voice_ibb_41349914.mp3	9180
common_voice_ibb_41528362.mp3	10512
common_voice_ibb_41440615.mp3	11052
common_voice_ibb_41514006.mp3	10368
common_voice_ibb_41482059.mp3	10512
common_voice_ibb_41481716.mp3	7236
common_voice_ibb_41315897.mp3	7668
common_voice_ibb_41503176.mp3	9216
common_voice_ibb_41528077.mp3	7560
common_voice_ibb_41483915.mp3	8136
common_voice_ibb_41451845.mp3	10908
common_voice_ibb_41316630.mp3	4140
common_voice_ibb_41269997.mp3	7380
common_voice_ibb_41271047.mp3	5832
common_voice_ibb_41265206.mp3	10692
common_voice_ibb_41481229.mp3	12276
common_voice_ibb_41481678.mp3	8928
common_voice_ibb_41512937.mp3	9972
common_voice_ibb_41440343.mp3	7740
common_voice_ibb_41333842.mp3	13428
common_voice_ibb_41347342.mp3	10836
common_voice_ibb_41486986.mp3	9756
common_voice_ibb_41486970.mp3	10224
common_voice_ibb_41513137.mp3	4500
common_voice_ibb_41503254.mp3	6912
common_voice_ibb_41513750.mp3	6804
common_voice_ibb_41327344.mp3	4356
common_voice_ibb_41368018.mp3	9216
common_voice_ibb_41300513.mp3	7740
common_voice_ibb_41513721.mp3	7056
common_voice_ibb_41271613.mp3	11520
common_voice_ibb_41528479.mp3	7560
common_voice_ibb_41272187.mp3	9648
common_voice_ibb_41400646.mp3	11088
common_voice_ibb_41481139.mp3	5796
common_voice_ibb_41318071.mp3	10908
common_voice_ibb_41372340.mp3	10980
common_voice_ibb_41349942.mp3	9756
common_voice_ibb_41451832.mp3	5688
common_voice_ibb_41303343.mp3	11736
common_voice_ibb_41368015.mp3	11196
common_voice_ibb_41368111.mp3	10296
common_voice_ibb_41379133.mp3	8712
common_voice_ibb_41484161.mp3	8280
common_voice_ibb_41271347.mp3	11592
common_voice_ibb_41481964.mp3	11376
common_voice_ibb_41481862.mp3	11160
common_voice_ibb_41464551.mp3	10800
common_voice_ibb_41363562.mp3	10800
common_voice_ibb_41414358.mp3	8064
common_voice_ibb_41528718.mp3	11340
common_voice_ibb_41264951.mp3	8424
common_voice_ibb_41486071.mp3	9144
common_voice_ibb_41367957.mp3	8028
common_voice_ibb_41387992.mp3	8748
common_voice_ibb_41414319.mp3	10476
common_voice_ibb_41482904.mp3	9396
common_voice_ibb_41528235.mp3	5040
common_voice_ibb_41451897.mp3	8712
common_voice_ibb_41464609.mp3	10944
common_voice_ibb_41451825.mp3	9756
common_voice_ibb_41512982.mp3	8100
common_voice_ibb_41464638.mp3	10224
common_voice_ibb_41514069.mp3	5364
common_voice_ibb_41472354.mp3	9036
common_voice_ibb_41383669.mp3	7020
common_voice_ibb_41383867.mp3	14076
common_voice_ibb_41354248.mp3	6408
common_voice_ibb_41414016.mp3	13932
common_voice_ibb_41482080.mp3	13032
common_voice_ibb_41528289.mp3	10908
common_voice_ibb_41313292.mp3	4860
common_voice_ibb_41352889.mp3	13680
common_voice_ibb_41513804.mp3	8892
common_voice_ibb_41481107.mp3	9180
common_voice_ibb_41464572.mp3	7884
common_voice_ibb_41528604.mp3	11628
common_voice_ibb_41503385.mp3	5616
common_voice_ibb_41290966.mp3	10368
common_voice_ibb_41271738.mp3	10080
common_voice_ibb_41487076.mp3	12024
common_voice_ibb_41451764.mp3	8316
common_voice_ibb_41528757.mp3	7344
common_voice_ibb_41480716.mp3	8892
common_voice_ibb_41486960.mp3	8352
common_voice_ibb_41481783.mp3	118836
common_voice_ibb_41354029.mp3	133776
common_voice_ibb_41440551.mp3	12744
common_voice_ibb_41331587.mp3	232632
common_voice_ibb_41348911.mp3	4176
common_voice_ibb_41513965.mp3	8784
common_voice_ibb_41319689.mp3	8568
common_voice_ibb_41485718.mp3	10008
common_voice_ibb_41317971.mp3	7848
common_voice_ibb_41265477.mp3	11304
common_voice_ibb_41270506.mp3	7596
common_voice_ibb_41484247.mp3	5148
common_voice_ibb_41388184.mp3	8460
common_voice_ibb_41439958.mp3	10908
common_voice_ibb_41303311.mp3	6876
common_voice_ibb_41361209.mp3	11016
common_voice_ibb_41361241.mp3	5076
common_voice_ibb_41485971.mp3	7920
common_voice_ibb_41512945.mp3	5076
common_voice_ibb_41374621.mp3	8280
common_voice_ibb_41481913.mp3	10584
common_voice_ibb_41272584.mp3	11124
common_voice_ibb_41287451.mp3	9468
common_voice_ibb_41503336.mp3	13320
common_voice_ibb_41333745.mp3	7848
common_voice_ibb_41528793.mp3	5292
common_voice_ibb_41397440.mp3	5832
common_voice_ibb_41528135.mp3	12600
common_voice_ibb_41472379.mp3	9288
common_voice_ibb_41481453.mp3	6048
common_voice_ibb_41371631.mp3	3528
common_voice_ibb_41361011.mp3	12276
common_voice_ibb_41250632.mp3	199980
common_voice_ibb_41415032.mp3	9720
common_voice_ibb_41342523.mp3	6228
common_voice_ibb_41369406.mp3	11268
common_voice_ibb_41472388.mp3	11340
common_voice_ibb_41287175.mp3	10908
common_voice_ibb_41481574.mp3	9180
common_voice_ibb_41353876.mp3	13860
common_voice_ibb_41414303.mp3	9972
common_voice_ibb_41372341.mp3	10368
common_voice_ibb_41482112.mp3	5004
common_voice_ibb_41513046.mp3	7020
common_voice_ibb_41372863.mp3	8100
common_voice_ibb_41513180.mp3	11808
common_voice_ibb_41272350.mp3	10044
common_voice_ibb_41361856.mp3	5616
common_voice_ibb_41484066.mp3	8424
common_voice_ibb_41481034.mp3	9792
common_voice_ibb_41513637.mp3	10188
common_voice_ibb_41250841.mp3	68724
common_voice_ibb_41264163.mp3	9324
common_voice_ibb_41481812.mp3	9540
common_voice_ibb_41307369.mp3	8208
common_voice_ibb_41374647.mp3	7488
common_voice_ibb_41481770.mp3	7920
common_voice_ibb_41363189.mp3	7416
common_voice_ibb_41433769.mp3	6588
common_voice_ibb_41528261.mp3	7344
common_voice_ibb_41528360.mp3	10296
common_voice_ibb_41528449.mp3	6048
common_voice_ibb_41262020.mp3	9000
common_voice_ibb_41368443.mp3	7560
common_voice_ibb_41263026.mp3	8496
common_voice_ibb_41464436.mp3	10656
common_voice_ibb_41528569.mp3	8784
common_voice_ibb_41325697.mp3	8676
common_voice_ibb_41397338.mp3	7092
common_voice_ibb_41444845.mp3	13788
common_voice_ibb_41348327.mp3	13536
common_voice_ibb_41481978.mp3	12060
common_voice_ibb_41369070.mp3	10116
common_voice_ibb_41370841.mp3	7236
common_voice_ibb_41373567.mp3	14400
common_voice_ibb_41528338.mp3	5004
common_voice_ibb_41271046.mp3	6660
common_voice_ibb_41487135.mp3	10800
common_voice_ibb_41325220.mp3	6696
common_voice_ibb_41464447.mp3	11088
common_voice_ibb_41481632.mp3	8928
common_voice_ibb_41308636.mp3	7668
common_voice_ibb_41512993.mp3	6984
common_voice_ibb_41400898.mp3	7848
common_voice_ibb_41513211.mp3	7704
common_voice_ibb_41528669.mp3	6804
common_voice_ibb_41513135.mp3	4860
common_voice_ibb_41528587.mp3	9972
common_voice_ibb_41425846.mp3	9900
common_voice_ibb_41269522.mp3	5580
common_voice_ibb_41484690.mp3	11916
common_voice_ibb_41265676.mp3	7848
common_voice_ibb_41322554.mp3	4716
common_voice_ibb_41528527.mp3	4212
common_voice_ibb_41374657.mp3	10368
common_voice_ibb_41444995.mp3	5616
common_voice_ibb_41528614.mp3	10188
common_voice_ibb_41414128.mp3	9180
common_voice_ibb_41528647.mp3	6552
common_voice_ibb_41481823.mp3	9612
common_voice_ibb_41333750.mp3	12276
common_voice_ibb_41481465.mp3	10836
common_voice_ibb_41262683.mp3	12348
common_voice_ibb_41487606.mp3	11844
common_voice_ibb_41464562.mp3	8892
common_voice_ibb_41482162.mp3	12528
common_voice_ibb_41482054.mp3	11772
common_voice_ibb_41317655.mp3	7776
common_voice_ibb_41468739.mp3	5868
common_voice_ibb_41322413.mp3	10980
common_voice_ibb_41528482.mp3	9216
common_voice_ibb_41325522.mp3	6768
common_voice_ibb_41379135.mp3	4248
common_voice_ibb_41472275.mp3	5076
common_voice_ibb_41372571.mp3	11448
common_voice_ibb_41322551.mp3	6696
common_voice_ibb_41249520.mp3	7128
common_voice_ibb_41484559.mp3	8136
common_voice_ibb_41472321.mp3	6480
common_voice_ibb_41503503.mp3	5472
common_voice_ibb_41322708.mp3	8748
common_voice_ibb_41307455.mp3	4896
common_voice_ibb_41248293.mp3	11376
common_voice_ibb_41347959.mp3	6660
common_voice_ibb_41468509.mp3	13356
common_voice_ibb_41271269.mp3	10980
common_voice_ibb_41484159.mp3	9648
common_voice_ibb_41262141.mp3	11808
common_voice_ibb_41451886.mp3	15120
common_voice_ibb_41528560.mp3	8208
common_voice_ibb_41354202.mp3	9756
common_voice_ibb_41368836.mp3	12456
common_voice_ibb_41481062.mp3	6480
common_voice_ibb_41484041.mp3	4176
common_voice_ibb_41368253.mp3	4356
common_voice_ibb_41264340.mp3	7128
common_voice_ibb_41381917.mp3	10260
common_voice_ibb_41325519.mp3	10656
common_voice_ibb_41414289.mp3	10692
common_voice_ibb_41400438.mp3	14508
common_voice_ibb_41372822.mp3	3888
common_voice_ibb_41513054.mp3	4896
common_voice_ibb_41481796.mp3	5724
common_voice_ibb_41323222.mp3	11376
common_voice_ibb_41479816.mp3	4608
common_voice_ibb_41482019.mp3	12132
common_voice_ibb_41264205.mp3	8028
common_voice_ibb_41513113.mp3	11520
common_voice_ibb_41374634.mp3	12456
common_voice_ibb_41481730.mp3	7452
common_voice_ibb_41307627.mp3	13608
common_voice_ibb_41528486.mp3	4356
